1,Rosedale,144-20 243 Street,Rosedale,(718) 528-8490,24018
2,Bayside,214-20 Northern Boulevard,Bayside,(718) 229-1834,14196
3,Central Library- The Archives,89-11 Merrick Boulevard,Jamaica,(718) 990-0700,24340
4,Hollis,202-05 Hillside Avenue,Hollis,(718) 465-7355,24332
5,Queens Library for Teens,2002 Cornaga Ave,Far Rockaway,(718) 471-2573,
6,Douglaston/Little Neck,249-01 Northern Boulevard,Little Neck,(718) 225-8414,14505
7,Queensboro Hill,60-05 Main Street,Flushing,(718) 359-8332,14190
8,Howard Beach,92-06 156 Avenue, Howard Beach,(718) 641-7086,15314
9,South Jamaica,108-41 Guy R. Brewer Boulevard,Jamaica,(718) 739-4088,24668
10,Long Island City,37-44 21 Street,Long Island City,(718) 752-3700,16858
11,Elmhurst,86-01 Broadway,Elmhurst,(718) 271-1020,14784
12,McGoldrick,155-06 Roosevelt Av. (off Northern Blvd),Flushing,(718) 461-1616,13832
13,Bellerose,250-06 Hillside Avenue,Bellerose,(718) 831-8644,24335
14,Far Rockaway,1637 Central Avenue,Far Rockaway,(718) 327-2549,20529
15,Windsor Park,79-50 Bell Boulevard,Bayside,(718) 468-8300,14506
16,Ozone Park,92-24 Rockaway Boulevard,Ozone Park,(718) 845-3127,24013
17,Lefrak City,98-30 57 Avenue,Corona,(718) 592-7677,14510
18,Bay Terrace,18-36 Bell Boulevard,Bayside,(718) 423-7004,14195
19,North Forest Park,98-27 Metropolitan Avenue,Forest Hills,(718) 261-5512,14786
20,Forest Hills,108-19 71 Avenue,Forest Hills,(718) 268-7934,14786
21,Laurelton,134-26 225 Street,Laurelton,(718) 528-2822,15313
22,Mitchell-Linden,29-42 Union Street,Flushing,(718) 539-2330,13832
23,Woodside,54-22 Skillman Avenue, Woodside,(718) 429-4700,14787
24,South Ozone Park,128-16 Rockaway Boulevard,South Ozone Park,(718) 529-1660,24016
25,Broadway,40-20 Broadway,Long Island City,(718) 721-2462,16860
26,Glendale,78-60 73 Place,Glendale,(718) 821-4980,15310
27,Ridgewood,20-12 Madison Street,Ridgewood,(718) 821-4770,15310
28,Woodhaven,85-41 Forest Parkway,Woodhaven,(718) 849-1010,24017
29,South Hollis,204-01 Hollis Avenue,South Hollis,(718) 465-6779,15312
30,Steinway,21-45 31 Street,Long Island City,(718) 728-1965,16862
31,Sunnyside,43-06 Greenpoint Avenue,Long Island City,(718) 784-3033,16861
32,Maspeth,69-70 Grand Avenue,Maspeth,(718) 639-5228,14788
33,Hillcrest,187-05 Union Turnpike,Flushing,(718) 454-2786,14508
34,Baisley Park,117-11 Sutphin Boulevard,Jamaica,(718) 529-1590,24671
35,Richmond Hill,118-14 Hillside Avenue,Richmond Hill,(718) 849-7150,24014
36,Cyber Center,89-11 Merrick Boulevard,Jamaica,(718) 990-0700,24340
37,Jackson Heights,35-51 81 Street,Jackson Heights,(718) 899-2500,14783
38,North Hills,57-04 Marathon Parkway,Little Neck,(718) 225-3550,14197
39,Lefferts,103-34 Lefferts Boulevard,Richmond Hill,(718) 843-5950,24015
40,Job Information Center,89-11 Merrick Boulevard,Jamaica,(718) 990-0700,24340
41,East Flushing,196-36 Northern Boulevard,Flushing,(718) 357-6643,14193
42,Poppenhusen,121-23 14 Avenue,College Point,(718) 359-1102,14191
43,Ravenswood,Now a Family Literacy Center,"35-32 21 St., LIC",By apptmt only,
44,East Elmhurst,95-06 Astoria Boulevard,East Elmhurst,(718) 424-2619,14511
45,Middle Village,72-31 Metropolitan Avenue,Middle Village,(718) 326-1390,15309
46,Pomonok,158-21 Jewel Avenue,Flushing,(718) 591-4343,14507
47,Rego Park,91-41 63 Drive,Rego Park,(718) 459-5140,14785
48,Broad Channel,16-26 Cross Bay Boulevard,Broad Channel,(718) 318-4943,20531
49,Seaside,116-15 Rockaway Beach Boulevard,Rockaway Park,(718) 634-1876,20532
50,Auburndale,25-55 Francis Lewis Boulevard,Flushing,(718) 352-2027,14193
51,Queens Village,94-11 217 Street,Queens Village,(718) 776-6800,24337
52,Kew Gardens Hills,72-33 Vleigh Place,Flushing,(718) 261-6654,14509
53,Glen Oaks,256-04 Union Turnpike, Glen Oaks,(718) 831-8636,16098
54,Briarwood,85-12 Main Street,Briarwood,(718) 658-1680,24670
55,St. Albans,191-05 Linden Boulevard,St. Albans,(718) 528-8196,15312
56,Langston Hughes,100-01 Northern Boulevard,Corona,(718) 651-1100,14511
57,Corona,38-23 104 Street,Corona,(718) 426-2844,14510
58,Astoria,14-01 Astoria Boulevard,Long Island City,(718) 278-2220,16859
59,Peninsula,92-25 Rockaway Beach Boulevard,Rockaway Beach,(718) 634-1110,20531
60,Fresh Meadows,193-20 Horace Harding Expressway,Fresh Meadows,(718) 454-7272,14507
61,Whitestone,151-10 14 Road,Whitestone,(718) 767-8010,14192
62,Cambria Heights,218-13 Linden Boulevard,Cambria Heights,(718) 528-3535,15311
63,Court Square,25-01 Jackson Avenue,Long Island City,(718) 937-2790,16858
64,Queensbridge,Now a Family Literacy Center,"10-43 41 Ave., LIC",By apptmt only,
65,Rochdale Village,169-09 137 Avenue,Jamaica,(718) 723-4440,24669
66,Flushing,41-17 Main Street,Flushing,(718) 661-1200,14190
67,Central Library,89-11 Merrick Boulevard,Jamaica,(718) 990-0700,24340
68,Arverne,312 Beach 54 Street,Arverne,(718) 634-4784,20530
